img_link,image_page_number,booklet_name,booklet_link,img_name
https://www.alsoouq.com//uploads/2022/07/9440470747.png,3.0,عروض الدانوب الرياض والخرج الأسبوعية 13 يوليو 2022 الموافق 13 ذو الحجة 1443,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6-%d9%88%d8%a7%d9%84%d8%ae%d8%b1%d8%ac-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-71.html,9440470747.png
https://www.alsoouq.com//uploads/2022/07/9560132146.png,3.0,عروض الدانوب الرياض والخرج الأسبوعية 13 يوليو 2022 الموافق 13 ذو الحجة 1443,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6-%d9%88%d8%a7%d9%84%d8%ae%d8%b1%d8%ac-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-71.html,9560132146.png
https://www.alsoouq.com//uploads/2022/07/4962069294.png,4.0,عروض الدانوب الرياض والخرج الأسبوعية 13 يوليو 2022 الموافق 13 ذو الحجة 1443,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6-%d9%88%d8%a7%d9%84%d8%ae%d8%b1%d8%ac-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-71.html,4962069294.png
https://www.alsoouq.com//uploads/2022/07/8577395057.png,4.0,عروض الدانوب الرياض والخرج الأسبوعية 13 يوليو 2022 الموافق 13 ذو الحجة 1443,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6-%d9%88%d8%a7%d9%84%d8%ae%d8%b1%d8%ac-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-71.html,8577395057.png
https://www.alsoouq.com//uploads/2022/07/1926723401.png,4.0,عروض الدانوب الرياض والخرج الأسبوعية 13 يوليو 2022 الموافق 13 ذو الحجة 1443,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6-%d9%88%d8%a7%d9%84%d8%ae%d8%b1%d8%ac-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-71.html,1926723401.png
https://www.alsoouq.com//uploads/2022/07/2854129288.png,4.0,عروض الدانوب الرياض والخرج الأسبوعية 13 يوليو 2022 الموافق 13 ذو الحجة 1443,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6-%d9%88%d8%a7%d9%84%d8%ae%d8%b1%d8%ac-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-71.html,2854129288.png
https://www.alsoouq.com//uploads/2022/07/3601582955.png,5.0,عروض الدانوب الرياض والخرج الأسبوعية 13 يوليو 2022 الموافق 13 ذو الحجة 1443,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6-%d9%88%d8%a7%d9%84%d8%ae%d8%b1%d8%ac-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-71.html,3601582955.png
https://www.alsoouq.com//uploads/2022/07/8116993455.png,5.0,عروض الدانوب الرياض والخرج الأسبوعية 13 يوليو 2022 الموافق 13 ذو الحجة 1443,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6-%d9%88%d8%a7%d9%84%d8%ae%d8%b1%d8%ac-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-71.html,8116993455.png
https://www.alsoouq.com//uploads/2022/07/5078551698.png,5.0,عروض الدانوب الرياض والخرج الأسبوعية 13 يوليو 2022 الموافق 13 ذو الحجة 1443,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6-%d9%88%d8%a7%d9%84%d8%ae%d8%b1%d8%ac-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-71.html,5078551698.png
https://www.alsoouq.com//uploads/2022/07/2379469605.png,5.0,عروض الدانوب الرياض والخرج الأسبوعية 13 يوليو 2022 الموافق 13 ذو الحجة 1443,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6-%d9%88%d8%a7%d9%84%d8%ae%d8%b1%d8%ac-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-71.html,2379469605.png
