img_link,image_page_number,booklet_name,booklet_link,img_name
https://www.alsoouq.com//uploads/2022/07/9383027601.jpg,1.0,عروض الدانوب جميع الفروع اليوم 3 يوليو 2022 الموافق 4 ذو الحجة 1443 عروض المنتجات الطازجة ل 8 أيام,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%ac%d9%85%d9%8a%d8%b9-%d8%a7%d9%84%d9%81%d8%b1%d9%88%d8%b9-%d8%a7%d9%84%d9%8a%d9%88%d9%85-3-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022.html,9383027601.jpg
https://www.alsoouq.com//uploads/2022/07/4908293980.jpg,1.0,عروض الدانوب جميع الفروع اليوم 3 يوليو 2022 الموافق 4 ذو الحجة 1443 عروض المنتجات الطازجة ل 8 أيام,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%ac%d9%85%d9%8a%d8%b9-%d8%a7%d9%84%d9%81%d8%b1%d9%88%d8%b9-%d8%a7%d9%84%d9%8a%d9%88%d9%85-3-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022.html,4908293980.jpg
https://www.alsoouq.com//uploads/2022/07/790144954.jpg,1.0,عروض الدانوب جميع الفروع اليوم 3 يوليو 2022 الموافق 4 ذو الحجة 1443 عروض المنتجات الطازجة ل 8 أيام,https://www.alsoouq.com/saudi-arabia-offers/offers-danube-riyadh/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%af%d8%a7%d9%86%d9%88%d8%a8-%d8%ac%d9%85%d9%8a%d8%b9-%d8%a7%d9%84%d9%81%d8%b1%d9%88%d8%b9-%d8%a7%d9%84%d9%8a%d9%88%d9%85-3-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022.html,790144954.jpg
